cv,name,definition,dbxref
biological_status,100,Wild habitat,
biological_status,110,Natural,
biological_status,120,Semi-natural/wild,
biological_status,130,Semi-natural/sown,
biological_status,200,Weedy,
biological_status,300,Traditional cultivar/landrace,
biological_status,400,Breeding/research material,
biological_status,410,Breeder's line,
biological_status,411,Synthetic population,
biological_status,412,Hybrid,
biological_status,413,Founder stock/base population,
biological_status,414,Inbred line (parent of hybrid cultivar),
biological_status,415,Segregating population,
biological_status,416,Clonal selection,
biological_status,420,Genetic stock,
biological_status,421,"Mutant (e.g. induced/insertion mutants, tilling populations)",
biological_status,422,"Cytogenetic stocks (e.g. chromosome addition/substitution, aneuploids, amphiploids)",
biological_status,423,Other genetic stocks (e.g. mapping populations),
biological_status,500,Advanced or improved cultivar (conventional breeding methods),
biological_status,600,GMO (by genetic engineering),
biological_status,999,Others,
