cv,name,definition,dbxref
collecting_source,10,Wild habitat,
collecting_source,11,Forest or woodland,
collecting_source,12,Shrubland,
collecting_source,13,Grassland,
collecting_source,14,Desert or tundra,
collecting_source,15,Aquatic habitat,
collecting_source,20,Farm or cultivated habitat,
collecting_source,21,Field,
collecting_source,22,Orchard,
collecting_source,23,"Backyard, kitchen or home garden (urban, peri-urban or rural)",
collecting_source,24,Fallow land,
collecting_source,25,Pasture,
collecting_source,26,Farm store,
collecting_source,27,Threshing floor,
collecting_source,28,Park,
collecting_source,30,Market or shop,
collecting_source,40,"Institute, Experimental station, Research organization, Genebank",
collecting_source,50,Seed company,
collecting_source,60,"Weedy, disturbed or ruderal habitat",
collecting_source,61,Roadside,
collecting_source,62,Field margin,
collecting_source,99,Others,
