cv,name,definition,dbxref
plant_parts,leaf,,
plant_parts,flower,,
plant_parts,plant,,
plant_parts,fruits,,
plant_parts,fruit,,
plant_parts,fruits-transversal,,
plant_parts,fruits-longitudinal,,
plant_parts,inflorescence,,
plant_parts,fruits-sliced,,
plant_parts,whole plant,,
plant_parts,red ripe fruit longitudinal,,
plant_parts,red ripe fruit transversal,,
plant_parts,immature green fruit,,
plant_parts,mature green fruit,,
plant_parts,breaker fruit,,
plant_parts,red ripe fruit,,
plant_parts,stem,,
plant_parts,trichomas,,
